orig.ident	nCount_RNA	nFeature_RNA	plate	Cell_type	Age	Age_Cell_type	pool	Pool_Cell_type	percent.mt	percent.ERCC
ss1_22_126s_B23_R1.ss1_22_126s_B23_R1_accepted_hits_sorted_rm_dup.bam	ss1	1204	525	ss2_22_126	LMPP	Juvenile	Juvenile_LMPP	ss2_22_126_3	ss2_22_126_3_LMPP	0.996677740863787	46.0963455149502
ss1_22_126s_B24_R1.ss1_22_126s_B24_R1_accepted_hits_sorted_rm_dup.bam	ss1	7615	2457	ss2_22_126	GMP	Juvenile	Juvenile_GMP	ss2_22_126_3	ss2_22_126_3_GMP	2.19304005252791	24.7275114904793
ss1_22_126s_C01_R1.ss1_22_126s_C01_R1_accepted_hits_sorted_rm_dup.bam	ss1	714847	7153	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_1	ss2_22_126_1_CD49b-	1.02609369557402	0.262014109312902
ss1_22_126s_C02_R1.ss1_22_126s_C02_R1_accepted_hits_sorted_rm_dup.bam	ss1	557933	6300	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_1	ss2_22_126_1_CD49b-	0.865874576338019	0.322619382614041
ss1_22_126s_C03_R1.ss1_22_126s_C03_R1_accepted_hits_sorted_rm_dup.bam	ss1	674119	6281	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_1	ss2_22_126_1_CD49b-	1.02622830687164	0.246395666047093
ss1_22_126s_C04_R1.ss1_22_126s_C04_R1_accepted_hits_sorted_rm_dup.bam	ss1	626329	5837	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_1	ss2_22_126_1_CD49b+	1.09127950326426	0.432360628359856
ss1_22_126s_C05_R1.ss1_22_126s_C05_R1_accepted_hits_sorted_rm_dup.bam	ss1	686762	5721	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_1	ss2_22_126_1_CD49b+	0.942830267254158	0.264866139943678
ss1_22_126s_C06_R1.ss1_22_126s_C06_R1_accepted_hits_sorted_rm_dup.bam	ss1	544990	6152	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_1	ss2_22_126_1_CD49b+	0.912860786436448	0.209728618873741
ss1_22_126s_C07_R1.ss1_22_126s_C07_R1_accepted_hits_sorted_rm_dup.bam	ss1	586848	8032	ss2_22_126	LMPP	Juvenile	Juvenile_LMPP	ss2_22_126_1	ss2_22_126_1_LMPP	0.967371448824909	0.132913463111402
ss1_22_126s_C08_R1.ss1_22_126s_C08_R1_accepted_hits_sorted_rm_dup.bam	ss1	5801	1085	ss2_22_126	GMP	Juvenile	Juvenile_GMP	ss2_22_126_1	ss2_22_126_1_GMP	1.56869505257714	68.126185140493
ss1_22_126s_C09_R1.ss1_22_126s_C09_R1_accepted_hits_sorted_rm_dup.bam	ss1	428440	6234	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_2	ss2_22_126_2_CD49b-	1.10447203809168	0.223601904584072
ss1_22_126s_C10_R1.ss1_22_126s_C10_R1_accepted_hits_sorted_rm_dup.bam	ss1	65069	5073	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_2	ss2_22_126_2_CD49b-	2.47583334614025	1.85649080207165
ss1_22_126s_C11_R1.ss1_22_126s_C11_R1_accepted_hits_sorted_rm_dup.bam	ss1	29469	2288	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_2	ss2_22_126_2_CD49b-	5.36835318470257	7.84553259357291
ss1_22_126s_C12_R1.ss1_22_126s_C12_R1_accepted_hits_sorted_rm_dup.bam	ss1	391080	5915	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_2	ss2_22_126_2_CD49b+	0.976015137567761	0.194589342334049
ss1_22_126s_C13_R1.ss1_22_126s_C13_R1_accepted_hits_sorted_rm_dup.bam	ss1	423703	7710	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_2	ss2_22_126_2_CD49b+	1.01462581100441	0.137124353615622
ss1_22_126s_C14_R1.ss1_22_126s_C14_R1_accepted_hits_sorted_rm_dup.bam	ss1	2226	502	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_2	ss2_22_126_2_CD49b+	0.718778077268643	71.5633423180593
ss1_22_126s_C15_R1.ss1_22_126s_C15_R1_accepted_hits_sorted_rm_dup.bam	ss1	413733	6581	ss2_22_126	LMPP	Juvenile	Juvenile_LMPP	ss2_22_126_2	ss2_22_126_2_LMPP	0.766194623102339	0.221640526619825
ss1_22_126s_C16_R1.ss1_22_126s_C16_R1_accepted_hits_sorted_rm_dup.bam	ss1	2053	510	ss2_22_126	GMP	Juvenile	Juvenile_GMP	ss2_22_126_2	ss2_22_126_2_GMP	0.876765708718948	69.995129079396
ss1_22_126s_C17_R1.ss1_22_126s_C17_R1_accepted_hits_sorted_rm_dup.bam	ss1	3423	802	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_3	ss2_22_126_3_CD49b-	0.4674262342974	36.7513876716331
ss1_22_126s_C19_R1.ss1_22_126s_C19_R1_accepted_hits_sorted_rm_dup.bam	ss1	2234	523	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_3	ss2_22_126_3_CD49b-	0.805729632945389	70.367054610564
ss1_22_126s_C20_R1.ss1_22_126s_C20_R1_accepted_hits_sorted_rm_dup.bam	ss1	2529	553	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_3	ss2_22_126_3_CD49b+	0.672202451561882	71.41162514828
ss1_22_126s_C21_R1.ss1_22_126s_C21_R1_accepted_hits_sorted_rm_dup.bam	ss1	223276	3796	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_3	ss2_22_126_3_CD49b+	1.80449309374944	0.515057596875616
ss1_22_126s_C24_R1.ss1_22_126s_C24_R1_accepted_hits_sorted_rm_dup.bam	ss1	2552	511	ss2_22_126	GMP	Juvenile	Juvenile_GMP	ss2_22_126_3	ss2_22_126_3_GMP	0.705329153605016	74.6473354231975
ss1_22_126s_D01_R1.ss1_22_126s_D01_R1_accepted_hits_sorted_rm_dup.bam	ss1	353210	5988	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_1	ss2_22_126_1_CD49b-	1.20070213187622	0.384756943461397
ss1_22_126s_D02_R1.ss1_22_126s_D02_R1_accepted_hits_sorted_rm_dup.bam	ss1	622526	5308	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_1	ss2_22_126_1_CD49b-	0.927672097229674	0.356611611402576
ss1_22_126s_D03_R1.ss1_22_126s_D03_R1_accepted_hits_sorted_rm_dup.bam	ss1	695405	6786	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_1	ss2_22_126_1_CD49b-	0.885095735578548	0.276960907672507
ss1_22_126s_D04_R1.ss1_22_126s_D04_R1_accepted_hits_sorted_rm_dup.bam	ss1	422139	5240	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_1	ss2_22_126_1_CD49b+	1.28914883486245	0.37025719016722
ss1_22_126s_D05_R1.ss1_22_126s_D05_R1_accepted_hits_sorted_rm_dup.bam	ss1	708655	6782	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_1	ss2_22_126_1_CD49b+	0.914549392863947	0.253155625798167
ss1_22_126s_D06_R1.ss1_22_126s_D06_R1_accepted_hits_sorted_rm_dup.bam	ss1	744965	7422	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_1	ss2_22_126_1_CD49b+	0.904740491164014	0.186049009013846
ss1_22_126s_D07_R1.ss1_22_126s_D07_R1_accepted_hits_sorted_rm_dup.bam	ss1	546955	6743	ss2_22_126	LMPP	Juvenile	Juvenile_LMPP	ss2_22_126_1	ss2_22_126_1_LMPP	0.822371127423645	0.190874934866671
ss1_22_126s_D08_R1.ss1_22_126s_D08_R1_accepted_hits_sorted_rm_dup.bam	ss1	621950	9762	ss2_22_126	GMP	Juvenile	Juvenile_GMP	ss2_22_126_1	ss2_22_126_1_GMP	1.13337084974676	0.0885923305731972
ss1_22_126s_D09_R1.ss1_22_126s_D09_R1_accepted_hits_sorted_rm_dup.bam	ss1	575175	6821	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_2	ss2_22_126_2_CD49b-	0.895901247446429	0.133002999087234
ss1_22_126s_D10_R1.ss1_22_126s_D10_R1_accepted_hits_sorted_rm_dup.bam	ss1	645422	6701	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_2	ss2_22_126_2_CD49b-	0.874621565425412	0.219081469178305
ss1_22_126s_D11_R1.ss1_22_126s_D11_R1_accepted_hits_sorted_rm_dup.bam	ss1	2888	577	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_2	ss2_22_126_2_CD49b-	0.692520775623269	73.303324099723
ss1_22_126s_D12_R1.ss1_22_126s_D12_R1_accepted_hits_sorted_rm_dup.bam	ss1	356045	8988	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_2	ss2_22_126_2_CD49b+	1.35348059936244	0.227499332949487
ss1_22_126s_D13_R1.ss1_22_126s_D13_R1_accepted_hits_sorted_rm_dup.bam	ss1	413639	5760	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_2	ss2_22_126_2_CD49b+	0.911906275762199	0.212262383382611
ss1_22_126s_D14_R1.ss1_22_126s_D14_R1_accepted_hits_sorted_rm_dup.bam	ss1	243692	5234	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_2	ss2_22_126_2_CD49b+	1.10426275790752	0.156755248428344
ss1_22_126s_D15_R1.ss1_22_126s_D15_R1_accepted_hits_sorted_rm_dup.bam	ss1	182939	6247	ss2_22_126	LMPP	Juvenile	Juvenile_LMPP	ss2_22_126_2	ss2_22_126_2_LMPP	1.02602506846544	0.0841810658197541
ss1_22_126s_D16_R1.ss1_22_126s_D16_R1_accepted_hits_sorted_rm_dup.bam	ss1	2260	541	ss2_22_126	GMP	Juvenile	Juvenile_GMP	ss2_22_126_2	ss2_22_126_2_GMP	0.79646017699115	68.4513274336283
ss1_22_126s_D19_R1.ss1_22_126s_D19_R1_accepted_hits_sorted_rm_dup.bam	ss1	421660	6860	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_3	ss2_22_126_3_CD49b-	0.866337807712375	0.18427168808993
ss1_22_126s_D22_R1.ss1_22_126s_D22_R1_accepted_hits_sorted_rm_dup.bam	ss1	781	575	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_3	ss2_22_126_3_CD49b+	2.9449423815621	6.40204865556978
ss1_22_126s_E01_R1.ss1_22_126s_E01_R1_accepted_hits_sorted_rm_dup.bam	ss1	699874	6933	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_1	ss2_22_126_1_CD49b-	1.04718849392891	0.15474213929936
ss1_22_126s_E02_R1.ss1_22_126s_E02_R1_accepted_hits_sorted_rm_dup.bam	ss1	733228	7639	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_1	ss2_22_126_1_CD49b-	0.932042966171505	0.175934361481013
ss1_22_126s_E03_R1.ss1_22_126s_E03_R1_accepted_hits_sorted_rm_dup.bam	ss1	667463	6605	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_1	ss2_22_126_1_CD49b-	0.899974979886526	0.25349719759747
ss1_22_126s_E04_R1.ss1_22_126s_E04_R1_accepted_hits_sorted_rm_dup.bam	ss1	663640	5730	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_1	ss2_22_126_1_CD49b+	0.885871858236393	0.342806340787174
ss1_22_126s_E05_R1.ss1_22_126s_E05_R1_accepted_hits_sorted_rm_dup.bam	ss1	759361	7294	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_1	ss2_22_126_1_CD49b+	1.01519567109715	0.22848157859042
ss1_22_126s_E06_R1.ss1_22_126s_E06_R1_accepted_hits_sorted_rm_dup.bam	ss1	454331	6998	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_1	ss2_22_126_1_CD49b+	1.12186929793477	0.272268456257662
ss1_22_126s_E07_R1.ss1_22_126s_E07_R1_accepted_hits_sorted_rm_dup.bam	ss1	486191	5888	ss2_22_126	LMPP	Juvenile	Juvenile_LMPP	ss2_22_126_1	ss2_22_126_1_LMPP	0.98850040416215	0.296591257345364
ss1_22_126s_E08_R1.ss1_22_126s_E08_R1_accepted_hits_sorted_rm_dup.bam	ss1	697988	8034	ss2_22_126	GMP	Juvenile	Juvenile_GMP	ss2_22_126_1	ss2_22_126_1_GMP	0.837406946824301	0.130231465297398
ss1_22_126s_E10_R1.ss1_22_126s_E10_R1_accepted_hits_sorted_rm_dup.bam	ss1	532199	5596	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_2	ss2_22_126_2_CD49b-	0.848178970648197	0.238256742308798
ss1_22_126s_E11_R1.ss1_22_126s_E11_R1_accepted_hits_sorted_rm_dup.bam	ss1	344765	5431	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_2	ss2_22_126_2_CD49b-	1.018084782388	0.237553115890534
ss1_22_126s_E12_R1.ss1_22_126s_E12_R1_accepted_hits_sorted_rm_dup.bam	ss1	533045	6057	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_2	ss2_22_126_2_CD49b+	0.789426783855022	0.241443030138168
ss1_22_126s_E13_R1.ss1_22_126s_E13_R1_accepted_hits_sorted_rm_dup.bam	ss1	12719	699	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_2	ss2_22_126_2_CD49b+	3.24711062190424	18.6414026259926
ss1_22_126s_E14_R1.ss1_22_126s_E14_R1_accepted_hits_sorted_rm_dup.bam	ss1	243035	5073	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_2	ss2_22_126_2_CD49b+	1.0307157405312	0.143600715946263
ss1_22_126s_E15_R1.ss1_22_126s_E15_R1_accepted_hits_sorted_rm_dup.bam	ss1	411705	6942	ss2_22_126	LMPP	Juvenile	Juvenile_LMPP	ss2_22_126_2	ss2_22_126_2_LMPP	0.864453917246572	0.0716532468636524
ss1_22_126s_E17_R1.ss1_22_126s_E17_R1_accepted_hits_sorted_rm_dup.bam	ss1	212925	5136	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_3	ss2_22_126_3_CD49b-	1.07126922625338	0.348009862627686
ss1_22_126s_E20_R1.ss1_22_126s_E20_R1_accepted_hits_sorted_rm_dup.bam	ss1	2464	824	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_3	ss2_22_126_3_CD49b+	1.46103896103896	55.6006493506494
ss1_22_126s_E21_R1.ss1_22_126s_E21_R1_accepted_hits_sorted_rm_dup.bam	ss1	2361	603	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_3	ss2_22_126_3_CD49b+	0.804743752647183	65.9466327827192
ss1_22_126s_E22_R1.ss1_22_126s_E22_R1_accepted_hits_sorted_rm_dup.bam	ss1	153309	2621	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_3	ss2_22_126_3_CD49b+	1.88573404040206	0.264172357787214
ss1_22_126s_F01_R1.ss1_22_126s_F01_R1_accepted_hits_sorted_rm_dup.bam	ss1	664739	6354	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_1	ss2_22_126_1_CD49b-	0.901406416653754	0.298463005781216
ss1_22_126s_F02_R1.ss1_22_126s_F02_R1_accepted_hits_sorted_rm_dup.bam	ss1	671604	6886	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_1	ss2_22_126_1_CD49b-	1.05717059457657	0.272481998320439
ss1_22_126s_F03_R1.ss1_22_126s_F03_R1_accepted_hits_sorted_rm_dup.bam	ss1	752052	6481	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_1	ss2_22_126_1_CD49b-	0.861243637408052	0.42656624807859
ss1_22_126s_F04_R1.ss1_22_126s_F04_R1_accepted_hits_sorted_rm_dup.bam	ss1	426728	6070	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_1	ss2_22_126_1_CD49b+	1.08406291595583	0.310736581616393
ss1_22_126s_F05_R1.ss1_22_126s_F05_R1_accepted_hits_sorted_rm_dup.bam	ss1	377702	6568	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_1	ss2_22_126_1_CD49b+	1.21736183552113	0.14455840848076
ss1_22_126s_F06_R1.ss1_22_126s_F06_R1_accepted_hits_sorted_rm_dup.bam	ss1	224702	5506	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_1	ss2_22_126_1_CD49b+	1.59767158280745	0.317754181093181
ss1_22_126s_F07_R1.ss1_22_126s_F07_R1_accepted_hits_sorted_rm_dup.bam	ss1	636458	5248	ss2_22_126	LMPP	Juvenile	Juvenile_LMPP	ss2_22_126_1	ss2_22_126_1_LMPP	0.845303225036059	0.268674445132279
ss1_22_126s_F08_R1.ss1_22_126s_F08_R1_accepted_hits_sorted_rm_dup.bam	ss1	2901	565	ss2_22_126	GMP	Juvenile	Juvenile_GMP	ss2_22_126_1	ss2_22_126_1_GMP	0.62047569803516	73.6297828335057
ss1_22_126s_F09_R1.ss1_22_126s_F09_R1_accepted_hits_sorted_rm_dup.bam	ss1	384559	5275	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_2	ss2_22_126_2_CD49b-	1.03651195265226	0.378355466911449
ss1_22_126s_F10_R1.ss1_22_126s_F10_R1_accepted_hits_sorted_rm_dup.bam	ss1	580079	6373	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_2	ss2_22_126_2_CD49b-	1.03416948381169	0.308233878488964
ss1_22_126s_F11_R1.ss1_22_126s_F11_R1_accepted_hits_sorted_rm_dup.bam	ss1	463950	5990	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_2	ss2_22_126_2_CD49b-	0.917124690160578	0.172432374178252
ss1_22_126s_F12_R1.ss1_22_126s_F12_R1_accepted_hits_sorted_rm_dup.bam	ss1	484943	6913	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_2	ss2_22_126_2_CD49b+	0.877628917212951	0.142284763363942
ss1_22_126s_F13_R1.ss1_22_126s_F13_R1_accepted_hits_sorted_rm_dup.bam	ss1	316581	5977	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_2	ss2_22_126_2_CD49b+	1.22433121381258	0.240064943884819
ss1_22_126s_F14_R1.ss1_22_126s_F14_R1_accepted_hits_sorted_rm_dup.bam	ss1	357691	6166	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_2	ss2_22_126_2_CD49b+	0.784196415341733	0.115742358627978
ss1_22_126s_F15_R1.ss1_22_126s_F15_R1_accepted_hits_sorted_rm_dup.bam	ss1	218336	4891	ss2_22_126	LMPP	Juvenile	Juvenile_LMPP	ss2_22_126_2	ss2_22_126_2_LMPP	1.06578850945332	0.154349259856368
ss1_22_126s_F17_R1.ss1_22_126s_F17_R1_accepted_hits_sorted_rm_dup.bam	ss1	418769	6361	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_3	ss2_22_126_3_CD49b-	0.792322258810944	0.150679730352533
ss1_22_126s_F18_R1.ss1_22_126s_F18_R1_accepted_hits_sorted_rm_dup.bam	ss1	263654	5336	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_3	ss2_22_126_3_CD49b-	1.01610443990988	0.243121667033309
ss1_22_126s_F19_R1.ss1_22_126s_F19_R1_accepted_hits_sorted_rm_dup.bam	ss1	307852	5512	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_3	ss2_22_126_3_CD49b-	0.900757506853943	0.143900315736133
ss1_22_126s_F21_R1.ss1_22_126s_F21_R1_accepted_hits_sorted_rm_dup.bam	ss1	303352	6977	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_3	ss2_22_126_3_CD49b+	0.932579973100556	0.130871067274981
ss1_22_126s_F22_R1.ss1_22_126s_F22_R1_accepted_hits_sorted_rm_dup.bam	ss1	238457	4705	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_3	ss2_22_126_3_CD49b+	1.2111198245386	0.239456170294854
ss1_22_126s_F23_R1.ss1_22_126s_F23_R1_accepted_hits_sorted_rm_dup.bam	ss1	2462	552	ss2_22_126	LMPP	Juvenile	Juvenile_LMPP	ss2_22_126_3	ss2_22_126_3_LMPP	0.893582453290008	70.8773354995938
ss1_22_126s_G01_R1.ss1_22_126s_G01_R1_accepted_hits_sorted_rm_dup.bam	ss1	208734	5069	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_1	ss2_22_126_1_CD49b-	1.63126275546868	0.319545450190194
ss1_22_126s_G02_R1.ss1_22_126s_G02_R1_accepted_hits_sorted_rm_dup.bam	ss1	706439	7399	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_1	ss2_22_126_1_CD49b-	1.0119769718263	0.231017823194926
ss1_22_126s_G03_R1.ss1_22_126s_G03_R1_accepted_hits_sorted_rm_dup.bam	ss1	543400	6654	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_1	ss2_22_126_1_CD49b-	0.89988958410011	0.154766286345234
ss1_22_126s_G04_R1.ss1_22_126s_G04_R1_accepted_hits_sorted_rm_dup.bam	ss1	643712	6965	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_1	ss2_22_126_1_CD49b+	1.04503256114536	0.349379846888049
ss1_22_126s_G05_R1.ss1_22_126s_G05_R1_accepted_hits_sorted_rm_dup.bam	ss1	509005	6687	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_1	ss2_22_126_1_CD49b+	0.934961346155735	0.259722399583501
ss1_22_126s_G06_R1.ss1_22_126s_G06_R1_accepted_hits_sorted_rm_dup.bam	ss1	445535	6577	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_1	ss2_22_126_1_CD49b+	1.09284343542034	0.209186708114963
ss1_22_126s_G07_R1.ss1_22_126s_G07_R1_accepted_hits_sorted_rm_dup.bam	ss1	725647	8988	ss2_22_126	LMPP	Juvenile	Juvenile_LMPP	ss2_22_126_1	ss2_22_126_1_LMPP	0.845728019271078	0.107490281087085
ss1_22_126s_G08_R1.ss1_22_126s_G08_R1_accepted_hits_sorted_rm_dup.bam	ss1	5139	659	ss2_22_126	GMP	Juvenile	Juvenile_GMP	ss2_22_126_1	ss2_22_126_1_GMP	0.505935006810664	71.8622300058377
ss1_22_126s_G09_R1.ss1_22_126s_G09_R1_accepted_hits_sorted_rm_dup.bam	ss1	372446	5873	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_2	ss2_22_126_2_CD49b-	1.30032273134897	0.284873511864807
ss1_22_126s_G10_R1.ss1_22_126s_G10_R1_accepted_hits_sorted_rm_dup.bam	ss1	516982	5710	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_2	ss2_22_126_2_CD49b-	0.900805057042605	0.241787915246566
ss1_22_126s_G11_R1.ss1_22_126s_G11_R1_accepted_hits_sorted_rm_dup.bam	ss1	375711	6334	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_2	ss2_22_126_2_CD49b-	1.33373789960901	0.299698438427408
ss1_22_126s_G12_R1.ss1_22_126s_G12_R1_accepted_hits_sorted_rm_dup.bam	ss1	400753	7463	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_2	ss2_22_126_2_CD49b+	0.989387478072528	0.257016167065499
ss1_22_126s_G13_R1.ss1_22_126s_G13_R1_accepted_hits_sorted_rm_dup.bam	ss1	432116	6594	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_2	ss2_22_126_2_CD49b+	1.02171639096909	0.178192892649196
ss1_22_126s_G14_R1.ss1_22_126s_G14_R1_accepted_hits_sorted_rm_dup.bam	ss1	459836	6216	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_2	ss2_22_126_2_CD49b+	0.826381579519655	0.16027453265947
ss1_22_126s_G15_R1.ss1_22_126s_G15_R1_accepted_hits_sorted_rm_dup.bam	ss1	218900	5105	ss2_22_126	LMPP	Juvenile	Juvenile_LMPP	ss2_22_126_2	ss2_22_126_2_LMPP	0.863864778437643	0.149383280036546
ss1_22_126s_G17_R1.ss1_22_126s_G17_R1_accepted_hits_sorted_rm_dup.bam	ss1	1847	551	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_3	ss2_22_126_3_CD49b-	1.29940443963184	62.9669734704927
ss1_22_126s_G19_R1.ss1_22_126s_G19_R1_accepted_hits_sorted_rm_dup.bam	ss1	200506	5307	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_3	ss2_22_126_3_CD49b-	1.23188333516204	0.188523036717106
ss1_22_126s_G20_R1.ss1_22_126s_G20_R1_accepted_hits_sorted_rm_dup.bam	ss1	1354	523	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_3	ss2_22_126_3_CD49b+	1.55096011816839	33.5302806499261
ss1_22_126s_G21_R1.ss1_22_126s_G21_R1_accepted_hits_sorted_rm_dup.bam	ss1	299950	5527	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_3	ss2_22_126_3_CD49b+	1.15019169861644	0.212035339223204
ss1_22_126s_H01_R1.ss1_22_126s_H01_R1_accepted_hits_sorted_rm_dup.bam	ss1	616580	6813	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_1	ss2_22_126_1_CD49b-	0.868824807810827	0.257387524733206
ss1_22_126s_H02_R1.ss1_22_126s_H02_R1_accepted_hits_sorted_rm_dup.bam	ss1	559812	6459	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_1	ss2_22_126_1_CD49b-	1.01087507949097	0.265088994162326
ss1_22_126s_H03_R1.ss1_22_126s_H03_R1_accepted_hits_sorted_rm_dup.bam	ss1	1025902	8185	ss2_22_126	CD49b-	Juvenile	Juvenile_CD49b-	ss2_22_126_1	ss2_22_126_1_CD49b-	0.691196625018764	0.142313788256578
ss1_22_126s_H04_R1.ss1_22_126s_H04_R1_accepted_hits_sorted_rm_dup.bam	ss1	758052	6963	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_1	ss2_22_126_1_CD49b+	0.914185306548891	0.364091117759732
ss1_22_126s_H05_R1.ss1_22_126s_H05_R1_accepted_hits_sorted_rm_dup.bam	ss1	535916	6637	ss2_22_126	CD49b+	Juvenile	Juvenile_CD49b+	ss2_22_126_1	ss2_22_126_1_CD49b+	1.0910291911419	0.142559654871286
