Cell_type	Age
plate_21_090s_J20.plate_21_090s_J20_accepted_hits_sorted_rm_dup.bam	GMP	Adult
plate_21_090s_K02.plate_21_090s_K02_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_K05.plate_21_090s_K05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_K06.plate_21_090s_K06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_K09.plate_21_090s_K09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_K10.plate_21_090s_K10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_K16.plate_21_090s_K16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_K17.plate_21_090s_K17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_K20.plate_21_090s_K20_accepted_hits_sorted_rm_dup.bam	GMP	Adult
plate_21_090s_L05.plate_21_090s_L05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_L06.plate_21_090s_L06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_L09.plate_21_090s_L09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_L10.plate_21_090s_L10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_L13.plate_21_090s_L13_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_L14.plate_21_090s_L14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_L16.plate_21_090s_L16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_L17.plate_21_090s_L17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_L19.plate_21_090s_L19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
plate_21_090s_L20.plate_21_090s_L20_accepted_hits_sorted_rm_dup.bam	GMP	Adult
plate_21_090s_M06.plate_21_090s_M06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_M09.plate_21_090s_M09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
plate_21_090s_M10.plate_21_090s_M10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_M16.plate_21_090s_M16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_M19.plate_21_090s_M19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
plate_21_090s_M20.plate_21_090s_M20_accepted_hits_sorted_rm_dup.bam	GMP	Adult
plate_21_090s_N02.plate_21_090s_N02_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
plate_21_090s_N05.plate_21_090s_N05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
