C1_cluster_Rodriguez;C2_cluster_Rodriguez;C3_cluster_Rodriguez;Mk_cluster_Rodriguez;Er_cluster_Rodriguez;Ba_cluster_Rodriguez;Neu_cluster_Rodriguez;Mo1_cluster_Rodriguez;Mo2_cluster_Rodriguez;preDC_cluster_Rodriguez;preB_cluster_Rodriguez;preT_cluster_Rodriguez;Mye_Chambers;NK_Chambers;NaiveT_Chambers;Ner_Chambers;Mm_HSC_Runx1_Wu;Mm_HSC_Tcf7_Wu;Mm_HSC_Ivanova;Mm_HSC_Ramalho;HSC_Explorer;Mm_LT_HSC_Venezia;Mm_Proliferation_Venezia;Mm_Quiescence_Venezia;Mm_Adult_HSC_UP_Venezia;Polarity_factors_Ting;Novel_HSC_regul_polar_Ting;Svendsen;MGA_MEP
Oas1b;;Bex6;Ube2q2;Aplp2;Sorl1;Stom;Capn2;Hmox1;Plekha1;Zfp874a;Btg1;Gsr;Dmrta1;;Gm944;F2r;Coro7;C2cd2;Akr1b3;Dkk1;Nr4a2;1110018J12Rik;1110059H15Rik;Fos;;;Tmem56;C79491
Csad;;Zfp367;Mrps23;Rangrf;Nqo2;Galns;Zbp1;Tifab;1600012H06Rik;Pld1;Cish;Ctbs;2810439F02Rik;;Col5a1;F2rl2;Cotl1;C5orf50;Akr1c13;Dll1;Slc22a17;Acyp2;Scotin;Sos1;;;Stom;D030056l22rik
Ptrf;;BC107364;Lims1;Fam109b;Vopp1;Dstn;Id2;Myo1f;AB124611;Clcn5;Fam189b;Rab3d;Edn3;;1700022C02Rik;Fcer1g;Crlf3;C6;Akr1e1;Dll4;BC042396;Pgm2;Asns;Pde8a;;;Cd34;Tubb2c
Sash1;;Chaf1b;Lrrc8b;Rmi1;Lgals1;Cers6;App;Msrb1;Arid3b;Trp53inp1;Ptpn22;Aph1b;6230424C14Rik;;Nrip3;Fcgr2b;Crocc;C7orf16;Aldoc;Dtx1;D19Wsu162e;Gmnn;1110018O08Rik;9630050M13Rik;;;Abcb1a;Lyrm4
Prdm16;;Zgrf1;Psen2;Mios;Dgat1;Gm14608;Atf3;Rassf4;Anxa2;Zscan29;Nfatc2;1700012B18Rik;1500034J20Rik;;Vwcd1;Fcgr3;Crtc3;CDK9;Amz2;E2f1;Pkd1;Tardbp;B830022L21Rik;BC012974;;;Serpinb6a;Mtf1
Eva1b;;Metrn;Gng11;Hspe1-ps2;Cracr2b;Ube2w;Arl5c;Cyp4f16;Anxa6;Atf5;Malt1;Il8rb;Ahnak;;2700038N03Rik;Fes;Ctxn1;Cabp2;Angptl2;Eef1g;Prkcabp;Mcm3;2310075G12Rik;D130005A03;;;Il15;Pqlc1
Ctsf;;Ppat;Nenf;Slc14a1;Nfkbiz;Csgalnact2;Raph1;Ripk2;Vps11;Pycr1;Trp53inp1;Krt2-10;Serpinb1b;;Hbb-y;Fhod1;Cuedc1;Calm4;Ank;Egr1;Mpra;1110060F11Rik;2310061B02Rik;Nr4a2;;;Tm6sf1;Dpyd
Gimap5;;Rmi2;Sept8;Cenpv;Evi2a;Bace1;Haao;Lst1;Tbc1d9;Fbxo31;Slc7a4;9530077C05Rik;Dixdc1;;Plk1;Fkbp5;Cxxc5;Calr;Ankrd13a;Eif4ebp1;;2310042P20Rik;Ulk2;Fdft1;;;Rnase6;Cenpk
Bex4;;Pola2;Fam212a;Iba57;Itgb2;1700020L24Rik;Clec4a3;Lyz2;Cyp4f18;Sec22c;Il2rg;Il28ra;Lrrc8c;;Dusp8;Flywch1;D16Ertd472e;Cap2;Antxr2;Epo;;C81234;Blk;Tro;;;Stxbp4;Zfp593
Tle2;;Fbxw5;Rps2-ps4;Lpin2;Hvcn1;Lbp;Csf2ra;Nabp1;S100a6;H2-Eb1;Prkcq;Cd80;LOC546569;;Arhgef12;Fos;Dcakd;Capsl;Ap1b1;Erp29;;D3Ertd330e;Bgn;LOC207685;;;Mmp2;Cenpo
Serpinb6a;;Emid1;Ralb;Nadk2;Jak2;Irf8;Ncf1;Slc41a3;Rassf4;Arfgap3;Cd53;Cdc42ep2;Lrrc8c;;Epb4.1;Fzd2;Dexi;Carkd;Ap1m1;Ezh1;;Prps2;Lrp10;Vcam1;;;Arhgap29;Gart
Scarf1;;Ppil1;Prkar2b;Rrp9;Hcst;Tfec;Il6ra;Dusp3;Tnfaip8l2;Cyp4f18;Ier5;App;Zdhhc20;;Col5a1;Gadd45b;Dhrs3;Cartpt;Ap2a2;Ezh2;;Ndufab1;Mbp;Gcnt1;;;Arhgap30;Cenpp
Prkcdbp;;Gpaa1;Dnajc21;Abcb10;Rbmx;Tbc1d8;Wfdc17;Itgb5;Ticam1;Hid1;Prpf39;Ralb;AU024076;;Ssx2ip;Galns;Dhrs7;Casc3;Ap2m1;Fgf2;;2610201A13Rik;3110001A13Rik;Arl4;;;Slamf1;Zfp248
Col16a1;;Nasp;Cd180;Tnfaip3;Lag3;Cpd;Myadm;Fam49a;Cask;Auts2;Tmem53;Leng4;Sept6;;5830483C08Rik;Galnt11;Diap1;Casp12;Apbb1ip;Flt1;;Gpiap1;1500001L20Rik;Rab11a;;;Npdc1;Adk
Tmem40;;Rbl1;Sla;Prkab1;Arsb;Ralb;Ms4a6b;Tbc1d8;Kctd12;Mt1;Flt3l;Ets2;Gats;;Epdr2;Galnt6;Dlx1;Cbfb;Apbb2;Flt3;;Gcs1;Inpp5e;Ywhaq;;;Ndrg1;Noc4l
Rsad2;;Pold3;Thop1;Gm14776;March8;Tmem97;5730508B09Rik;4632428N05Rik;Stat2;Cln8;Nfrkb;Ces3;3526401B18Rik;;5530400B01Rik;Gatad1;Dnajb9;Cbx1;Aplp2;Flt3l;;Ris2;Stab1;Ndfip1;;;Abat;Mrpl35
Fam43a;;Ddb2;Cmtm3;Rps18-ps3;Gata1;G6pdx;6330416G13Rik;Cebpb;Dpp4;Ggh;;Alox15;;;C030025P15Rik;Gfod1;Dnajc6;Ccar1;Apoe;Fmod;;Msh2;Ctla2a;Igk-V8;;;Abcb1b;Med19
Map1lc3a;;Sox12;Gm16205;Fam189b;Osbpl5;Nkg7;Ctsc;Tmcc1;Cd2ap;Xpo4;;AI043046;;;Sphk1;Glipr1;Dnmt3b;Ccdc71;Araf;Foxo1;;Ndufv2;Tead2;Mcl1;;;Dennd5b;Sdsl
Ctsl;;Pole2;Med4;Klhl12;Tnfaip8l2;Hspa1b;Cd52;Gpcpd1;Lsp1;Manea;;E230016K23Rik;;;Sox6;Gng2;Dok2;Ccdc80;Ard1;Foxo3;;Stag1;Ctsf;H2-K;;;Tsc22d1;D5ertd525e
Uba7;;Coq6;Inpp5a;Isg20;Tbc1d8;Tm6sf1;Nedd9;Nadk;Atf3;Fanca;;Cd44;;;Epdr2;Gpc2;Dok3;Ccdc90b;Arfgap3;Foxo4;;Lig1;Lrg;2610022K04Rik;;;Anxa6;Ppp2r4
Maff;;Rhbdl2;Usp24;Tango2;P2rx4;Ccr2;Lgals1;Apobr;Ascc1;Efnb1;;C030046I01Rik;;;Mybl2;Gpr141;Dpysl2;Ccdc94;Arhgap21;Fzd8;;Entpd5;4930504E06Rik;B830009D23Rik;;;Ghr;Mrpl41
Neurl3;;Higd1a;Nt5c3;Dnaaf5;Slc18a2;Rpe;Sat1;Nol3;Lgals1;Syvn1;;Csf2rb1;;;Rsad2;Gpr56;Dtnbp1;Ccnd3;Arhgef2;Gab2;;Osf2;Spec1;Rnpc2;;;Mef2c;Bclaf1
Dst;;Haus8;Gata2;Wrn;Ncf1;Csf2ra;Cers6;Gm13171;Naglu;Rps6ka5;;Peli2;;;Galnt10;Gpr97;Dusp1;Cd276;Arhgef3;Gapdh;;Rbbp4;Capn6;Tm4sf2;;;Cytip;6330437i11rik
Cyp2j6;;Mgme1;D6Wsu163e;Gm5812;Myo1f;Atp6ap2;Idh1;Sh3bp2;Arhgap17;Ppapdc1b;;Krt2-7;;;Galns;Gpsm1;Dusp2;Cd2bp2;Arhgef5;Gata2;;Tmpo;Rps6ka2;1810054D07Rik;;;Mcm7;Rrs1
Csgalnact1;;Cenpi;Tsc2;BC037034;Ero1l;Myo7a;Degs1;Nfam1;Slc8b1;Prr5;;Pi16;;;Diap3;Grap;Dusp4;Cd34;Arhgef7;Gata3;;Hells;Dab2;9530072E15Rik;;;Perp;1110034a24rik
Rbfox2;;Khdrbs3;;Bag2;Itgal;Gatm;Sirpa;Cd180;Il6ra;Glcci1;;9130005N14Rik;;;Gm944;Grn;E130012A19Rik;Cd3d;Arih1;Gclc;;D730042P09Rik;Copeb;Ddx5;;;Thbd;1700040i03rik
Inadl;;Gm13461;;Apip;Klhl18;Tmem50b;Gm14608;N4bp2l1;Slc12a9;Erlec1;;Atg7l;;;Slc30a10;Gzmb;Egln3;Cd69;Arih2;Gclm;;Tbca;Cd14;Aplp2;;;Lamp2;Wdr18
Wbscr27;;Rrp1b;;Larp1b;Tecpr1;Megf9;Apobec1;Itfg3;Elmo2;Nacc2;;2610507I01Rik;;;Epb4.1;Gzmc;Ehd4;Cd93;Arl2;Gfi1;;Pawr;Dvl1;Bteb1;;;Cntn1;Sf3a2
Dennd1c;;Gm5141;;Blm;Tbc1d4;Gng12;Nfam1;Nfkbiz;Arsb;Car1;;Retnla;;;Cd59a;H2-D1;Eif4e3;Cdh15;Armcx2;Gfi1b;;Cd5l;Dusp12;Lmo2;;;Cyb561;Pklr
Exoc6b;;Usp37;;Pabpc4;Nhsl2;4632428N05Rik;Ralb;Lfng;Golm1;Nfkb2;;Dhrs8;;;Ankrd41;Haao;Elmo1;Cdk2ap2;Arpc3;Gja1;;Fzd4;Dnajb10;Chrnb1;;;Plac8;Atad5
Ldhb;;Hspa14;;Tdpx-ps1;Ier3;Map3k2;Scpep1;Pbxip1;Ap1g2;Gal3st3;;BC013481;;;Ela1;Havcr2;Emilin2;Cdk4;Arsa;Gjc1;;1110020P15Rik;Tinf2;H2-Q7;;;Cyp26b1;9430037o13rik
Tgfbr3;;Cars2;;Ext1;Ccl9;Nt5dc2;Fam105a;Igsf6;Lrrk1;Rbm47;;Ncf1;;;Slc2a4;Hdac6;Eml4;Cdk6;Art5;Gli1;;Xpo1;Mpeg1;Tgfb1i4;;;Lst1;Aa408650
Arhgef12;;Rpusd1;;Tuba8;Nin;Cebpa;Fosl2;Nuak2;Rara;Sec24d;;Slc35a5;;;Prkwnk1;Hes6;Ephb2;Cdt1;Asns;Gsk3b;;Mre11a;C230093N12Rik;Lasp1;;;Nrg4;Mrpl48
Gprc5b;;Fanca;;Aco1;Fam189b;Gsr;Gpr35;Cytip;Stx7;Vldlr;;Gm568;;;D4Ertd639e;Hist1h1e;Erg;Cebpz;Asrgl1;Hes1;;Idh3a;Minpp1;Ddx6;;;Tmem176a;2010107h07rik
Acox1;;Gatm;;Bex4;Dgka;Pde2a;Tep1;Gyk;Fam102b;Phlda1;;Slc6a6;;;Dfy;Hist1h2bj;Ern1;Cecr6;Atf3;Hes5;;Tubb5;Cd19;Ifrg15;;;Lpar6;Nmnat3
Grik5;;Vegfb;;Ecsit;Gadd45a;Cdc45;Zswim6;Fosl2;Abca3;Fkbp2;;A330042H22;;;Spire1;Hist1h4d;Etv4;Cend1;Atn1;Hey1;;1110001J03Rik;2010008K16Rik;Cnn2;;;Tc2n;Mrpl44
Gab1;;Fam217b;;Asph;Prkca;Ncln;Hgsnat;S100a6;Tmem50b;Arhgap35;;Tkt;;;Tac2;Hmga2;Etv6;Cenpm;Atp1a1;Hif1a;;2310021G01Rik;Gja1;Rab2;;;Vldlr;Gm3604
Npdc1;;Hn1l;;Minpp1;Fosb;Itgam;Cyth4;Irf7;Cc2d1a;Entpd1;;Bmpr1a;;;Cxcl12;Icam2;Evl;Cep170b;Atp2a2;Hif1an;;Grhpr;Mfng;LOC226442;;;Procr;Olfr49
Ccdc112;;Fam111a;;Acsl1;Mxd1;Tmem216;Plod3;Ccl9;Nptn;Eif2ak3;;Sfmbt2;;;Btn1a1;Ier2;Exoc3l;Cftr;Atp5d;Hlf;;Kif22;Chk;9130011J15Rik;;;Runx1t1;Mrpl52
Hoxa10;;Kpna3;;Htra2;Trp53i13;Arl11;Tmem50b;Ptprj;Commd8;Yipf2;;Tmcc1;;;Psmf1;Ier3;Eya2;Chchd6;Atp6v1d;Hmox1;;Ndufb2;Eif4g2;Il6st;;;Flt3;Lars2
Nr4a2;;Fbxo45;;Cdc6;Dopey2;Ccl9;Acer3;Ccrl2;Hexb;Clptm1l;;Hist2h2aa1;;;2610510J17Rik;Igf2bp3;F2r;Chd5;Atxn2;Hoxa10;;Itga4;Ddt;AA960558;;;Cavin2;Cinp
Maged2;;Nmral1;;Dpy19l1;Bcas3;Eif2ak3;Hmox1;Birc3;Hlcs;Adarb2;;Gdpd3;;;Igfbp5;Igfbp4;F2rl2;Chic1;Aup1;Hoxa4;;Shfdg1;Impdh2;Ilvbl;;;Hpgds;Cks2
Rbp1;;Ogfod3;;Adk;Acss1;Edem1;Ccl9;Ccr2;Bcl3;Atxn7l1;;Cask;;;Pcyt1b;Ikzf2;Fam212a;Chrnb1;Avpi1;Hoxa5;;Bzw2;5730403B10Rik;Bcl10;;;Mmp14;Zfp493
Tie1;;Mlkl;;Ccdc23;Cd53;Jdp2;Lgmn;Arl5c;Snx11;Atat1;;AI425999;;;Ptdss2;Il10ra;Fam214b;Chst1;Axin1;Hoxa7;;Chaf1a;Lyzs;Dazap2;;;Jun;Trub2
Serpina3g;;Rcc1;;Ndufaf6;Tmem64;5730508B09Rik;Asah1;Ier5;Akna;Xbp1;;6330406P08Rik;;;BC030863;Il12rb2;Fes;Cldn8;Azi1;Hoxa9;;Lpl;Gstm5;Stk38;;;Egr1;Setd6
Rbm18;;9130401M01Rik;;Bloc1s5;Anxa2;Myo1f;Tnfaip8l2;Itgam;Ly6c2;I830127L07Rik;;Tspan2;;;Cit;Il18rap;Fgf3;Clk3;Azi2;Hoxb4;;Rfc5;H2-Ab1;Pbef;;;Id2;Pfas
Rora;;Haus1;;Nenf;Mcu;BC035044;Ptafr;Gpr132;Tbc1d8;2700081O15Rik;;1110060D06Rik;;;Gp9;Il2rg;Fkbp1a;Clpb;B3galnt1;Hoxc4;;Uble1a;Ndn;2410018D16Rik;;;Bcl6;Lrrc14
Zrsr1;;Tmem97;;Zfpm1;Dctn6;Rnpep;Irf7;Gda;Diap2;Selm;;Klhl5;;;Prss29;Il6;Fkbp5;Clps;B3gat3;Hoxd4;;1110005L13Rik;Grp58;Ptp4a1;;;S100a6;Hspa14
Nab2;;Haus4;;Zcchc6;Alkbh4;Adpgk;Tmcc1;Pou2f2;Rab32;Txndc11;;9130005N14Rik;;;Eif2ak1;Impa2;Fli1;Cmtm7;BC003993;Hp;;2610201A13Rik;Stxbp2;Mgea5;;;Il12rb2;Smpd4
Jam3;;Slc43a3;;Vamp5;Galns;Man2a1;Rgs10;Dock5;Bmp2k;Lax1;;Celsr3;;;Mybl2;Irf1;Flnb;Cntn1;BC004004;Hspa5;;1110008H02Rik;Cd81;Ctsh;;;Cyyr1;Btaf1
Smad7;;Casp7;;Bysl;Grina;Ckap4;Soat1;Apoe;Amz1;Adgre5;;Ehd1;;;Neil3;Itm2c;Flt1;Coasy;Baat;Hspa8;;Ndufa2;Psme1;2010200I23Rik;;;Kcnip3;Recql4
Rps12-ps7;;Cntln;;Pgp;Fcgr2b;Tmed3;Ms4a6c;Cd52;Sorl1;Ube2j1;;A330103N21Rik;;;BC010801;Junb;Flywch1;Col18a1;Bag3;Hspd1;;D630024B06Rik;Nfkbia;2010004P11Rik;;;Mgst1;0610009d07rik
Crispld1;;Rltpr;;Pip4k2c;Pxk;Dnajb11;Fam129a;Cyth4;Vimp;Crtc1;;2310010M24Rik;;;Tspan8;Kazald1;Fmnl1;Col4a1;Basp1;Icam1;;D7Rp2e;Btg2;Trip6;;;Zfp36;Wrn
Tmem159;;Nfatc2ip;;Ppp2r1b;Il18rap;Tiam1;Pqlc3;Lsp1;Tmem55b;S100a9;;Por;;;Foxm1;Kcna3;Fnbp1;Col4a2;Bat2;Id1;;2010100O12Rik;Rsu1;Synpo;;;C4b;Nkrf
Irak3;;Tubgcp2;;Pgm1;Itm2c;Mapkapk3;Stom;Lyn;Fam129a;Cd52;;Rnf128;;;Ogfrl1;Kctd1;Fndc3a;Cox8a;Bat4;Ifng;;2010100O12Rik;Crip2;Herpud1;;;Csf2rb;Psmb4
Zfand1;;Mms22l;;Hemgn;Tiam1;Acer3;Lsp1;Csf2ra;Zfp516;H2-Ab1;;Rab11fip1;;;Cdkl1;Kifap3;Fos;Cpsf2;Bckdhb;Igf1;;C530002L11Rik;Ctsl;Cast;;;Lsr;4930578c19rik
Sgms1;;Nelfe;;Usp33;Gng12;Hmga1;Lpl;Smpdl3a;Net1;Btd;;Atrnl1;;;Atpif1;Kremen1;Fosb;Crem;Bcl2a1a;Igf1r;;Pdcd8;2500002L14Rik;Nars;;;Ect2;Riok1
Hoxb3;;Tmem238;;F2r;Orai2;Entpd6;Myo1f;Slc7a4;Pfkp;Mavs;;F10;;;2310047B19Rik;Lag3;Fut7;Cryaa;Bcl3;Igf2;;Anp32b;Gadd45g;Tde2;;;Fyb;Nkx1-2
Pard3b;;Cdc25a;;Gm14165;Ptger3;Mgst1;Apobr;Rab29;Tmem109;St3gal2;;Myl2;;;5730507H05Rik;Lass4;Fut8;Crybb2;Bcl6;Igsf6;;Mrpl33;Ldh2;Scotin;;;Myo1e;Tspy-ps
Plxnc1;;Whsc1;;Hdac7;Elane;Aldh4a1;Nagpa;Ms4a6c;Fam188a;Txndc5;;Tmem38a;;;Xpo7;Lat;Fxyd5;Cs;Bcl7b;Ikzf1;;Bub1;Ulk1;3110038L01Rik;;;Zfp334;Nfrkb
Hoxa5;;Ift27;;Psen2;Flt3l;Pfkfb3;Plekhm3;Lipa;Osbpl11;Lipe;;Plekhg3;;;Cenpe;Lbh;Fzd2;Csrp1;Bet1l;Il10;;Lphn1;Irf1;1810045K07Rik;;;Serpinb8;Trfr2
Paqr7;;Srm;;Glrx5;Ccr2;Pole2;Myo1g;Nkiras2;Rab43;Fosb;;Rdh12;;;Mastl;Lcp1;Gadd45b;Cst7;Bgn;Il1b;;Vrk1;Edn1;6030448M23Rik;;;Cxcl16;Ppil3
Ormdl3;;Umps;;Orc5;Adgre5;Fcgr2b;Cx3cr1;Camta2;Marcks;Rnase6;;2310001H17Rik;;;Trim2;Limd2;Galk2;Ctla4;Birc2;Il2rg;;Ect2;Gadd45b;2810432L12Rik;;;Ppp1r16b;Rars2
S1pr1;;Cinp;;Tmem64;Ikzf2;Acsl1;Osm;Adrb2;Sc5d;Rgs10;;Abca9;;;Usp46;Litaf;Galnt11;Ctnnbl1;Blcap;Il7;;0610040B21Rik;Lck;2310075G12Rik;;;Rbpjl;Ankrd26
Emcn;;Ppp1r26;;Ifrd2;Tbc1d14;Dgat1;Lyn;Arid3a;Fcer1g;Itm2c;;Sstr4;;;5830483C08Rik;Lmbr1l;Galnt6;Ctnnd1;Blzf1;Irf4;;Stmn1;Serpina3g;2310061B02Rik;;;Nckap1;Krtap4-6
Cxx1b;;Samd1;;Apeh;Igf1r;Fam46a;Evl;Klf3;Dynlt1-ps1;Isg20;;Glipr2;;;1110007A06Rik;Lrrc8d;Gatad1;Ctsl;Bmi1;Itga2;;Dck;Tgtp;Basp1;;;Clec1b;Mul1
Tmem63a;;Nudt1;;Mthfd1;Gba;Ccdc125;Atp2b1;Rnase6;Cxx1b;Itgal;;Cpd;;;A930021H16Rik;Lrrfip1;Gem;Cxcl14;Bmp1;Itga2b;;Cdh1;B4galt6;Bgn;;;Slc6a15;5730469m10rik
Serpinf1;;Slc25a13;;Gna12;Gna12;Mgam;Gsn;Cyba;Skil;Tmem184b;;BC034068;;;D18Ertd653e;Lst1;Gfod1;Cxcr5;Bmp4;Itga3;;Set;Rga;0610010K06Rik;;;Pclo;Msh2
H2-Aa;;Nckap1;;Selenbp1;Galnt6;Cracr2b;Unc93b1;Mgst1;Ank3;Prdx4;;9630017O17;;;Map4k5;Ltb4r1;Glis2;Cyb5b;Bmp7;Itga4;;Dtymk;C730036B01Rik;Dnajb6;;;Lsp1;Muted
Mansc1;;Nup85;;Brf1;Trib1;Pgp;Mospd2;Plxnb2;Ccnd1;Foxk2;;Scn2b;;;Figf;MGAT1;Gpc2;Cyp2e1;Bnc1;Itga5;;Itm1;E130107N23Rik;4732477C12Rik;;;Slc28a2;Gm10392
Parp4;;Npl;;Mpv17l2;Flot2;Tm7sf3;Trps1;Gpr35;H2-M3;Man1b1;;Ptpro;;;A930010G16Rik;MYH9;Gpr56;D330045A20Rik;Bpgm;Itga9;;1110018B13Rik;Cyp4b1;Lrp10;;;Arhgef28;Bysl
Clstn1;;Nxt1;;Apoe;Atp13a3;Cyp2c44;Stard3nl;Zfp703;Ece1;Sel1l;;Tlr4;;;Hist1h2ae;Maff;Gpr97;Dag1;Brap;Itgal;;Tram1;Ercc5;Rab11a;;;Tnfsf10;Rint1
Dlgap4;;Siva1;;Gm4879;Gata2;Il21;Csf2rb;Rhoq;A630033H20Rik;Sdc4;;Fndc3b;;;Trim2;Man2a2;Gpsm1;Dapk1;Brca2;Itgam;;Ppp2r5c;Ablim1;Bnip3l;;;Cd9;Tex9
Col4a1;;Zc3hav1l;;Dmwd;Cd9;Tmem165;Diap2;Ltb4r1;Rbm47;Slc33a1;;4931428L18Rik;;;Add2;Man2b1;Gramd1a;Dbt;Brd4;Itgav;;Adsl;Isgf3g;1110020C13Rik;;;Pla2g4a;Srsf3
Trim12c;;Pole3;;Det1;Ptprs;Serpinb1c;Stx7;Hpcal1;Zgrf1;Sdf2l1;;B4galt6;;;6030468B19Rik;Map4;Grn;Dcbld1;Btbd1;Itgb1;;Skd3;Wwp2;2900097C17Rik;;;Col4a2;Slc25a32
Akap7;;Casp8ap2;;Lrrc3;Cel;Htra2;Prkcd;B4galt5;Lat2;Pigo;;Asahl;;;Tyms;Map4k4;H2afy;Dctd;Btg3;Itgb2;;Cfl1;2610311I19Rik;2510039O18Rik;;;Dhx40;4930432b10rik
Bhlhe40;;Mthfd1;;Mtss1;St14;Tcn2;Sgms2;Plin2;Fcgrt;Tubgcp6;;MGI:1345171;;;Bsg;Map7d1;Haao;Dctn3;Bysl;Itgb3;;Mas1;Atp11a;B230114J08Rik;;;Evc;Rnaseh2c
Cers4;;Topbp1;;Dnajc24;Mfsd5;Gm10053;Slc16a10;Slc12a2;Lbh;Gm13251;;Pbx1;;;Slc16a1;Mapk12;Hes6;Dcun1d4;C1r;Itpr1;;Mki67;2210023G05Rik;2610019N13Rik;;;Trpc6;C78515
Sgce;;Grwd1;;2410127L17Rik;Dhx40;Irak4;Plxnb2;Btg1;Apobr;Slc35b1;;AL024069;;;Ifrd2;Mfge8;Hist1h1e;Ddit4;C330007P06Rik;Jag1;;Socs2;Zfp275;Sat1;;;Slc14a1;Ube2cbp
Myct1;;Msh6;;RP23-298M23.9;Faah;Hsdl2;Nkiras2;Tpm4;Stx18;Arrb1;;Cklf;;;Btrc;Mgat5;Hist1h2bj;Ddx18;C80913;Jak2;;Pla2g4a;1810009A16Rik;Lmo2;;;Lgals1;Oxnad1
Cxx1a;;Lrrc8b;;Piezo1;Bag3;B4galt6;Tmem109;Degs1;Tet2;Ckap4;;Pcnx;;;Pabpc1;Midn;Hist1h4d;Ddx51;Cad;Jam3;;Hint;Srcasm;Prkar1a;;;Ndn;B930059l03rik
Zbtb4;;Hat1;;Gatm;Tango2;Rrm2;Nabp1;Abhd12;Pkib;Ier5;;2310058F05Rik;;;Uros;Milr1;Hmces;Dhodh;Caml;Junb;;Cox6a1;Pik4ca;D6Ertd772e;;;Sell;Thg1l
Nceh1;;Slc25a15;;Drosha;Naglu;Dock5;Ctsz;Cd53;Fdps;Dnajb11;;Tnfsf13b;;;Cpox;Mkl1;Hmga2;Dhx9;Capn5;Kdm3a;;1110025H10Rik;Mtmr13;Stab1;;;Mllt3;Jakmip2
;;Lmnb2;;Dapk1;Ddx26b;Ankrd28;Pgd;Adrbk2;Cd48;Edem2;;Bcl6;;;Smap1;Mpnd;Homer3;Dicer1;Car4;Kdr;;Cox7c;3830408P06Rik;Ctla2a;;;Gstm7;Foxo3
;;Slc7a1;;Csnk2a2;Cnpy4;Rab21;Tiam1;Myo1g;Dnajc19;Faah;;D630023F18Rik;;;Nup133;Mrgpre;Hvcn1;Dimt1;Cars;Kit;;6230416J20Rik;Gbp2;Mlp;;;Anxa2;Fam117b
;;Galk1;;Hars;Diap2;Adap1;Cd300a;Slc15a4;Plin2;Mtfr1;;F3;;;Acp1;Myadm;Icam1;Diras2;Casp12;Kitl;;Tmem4;AW538430;3230401N03Rik;;;Oxr1;Papss2
;;Shq1;;Trak2;Smim3;Fdps;Klra6;Fcgr2b;Baiap2;Adamtsl4;;Adprh;;;Stxbp4;Mycn;Idh2;Dlg3;Casp14;Lef1;;2510027N19Rik;Rpl44;Cd164;;;Gstm1;Macrod2
;;Mthfd1l;;Hagh;Med14;Ffar2;Ccl3;Ms4a6b;Kif21b;Creb3l2;;Numa1;;;Wdr62;Myl6b;Ier2;Dll1;Casp3;Ly6c1;;Cyba;Aldo1;Ctsf;;;Dnmt3b;Hars
;;Brca2;;Ehd1;Ccrl2;Recql;5031439G07Rik;Acer3;Acss1;Klra6;;Neu1;;;Mare;Myo1f;Ier3;Dmkn;Casp4;Ly86;;2510005D08Rik;Ccng1;AW050020;;;Btg2;2610024g14rik
;;Pelo;;Brat1;Gab2;Anxa1;Lyz2;Htra2;Kctd14;Rilpl2;;BC016495;;;Tnk1;Naga;Igf1r;Dnajb9;Cbr1;Mad1l1;;Ndufb9;1110058B13Rik;Gnb1;;;Ctss;Dtd1
;;Cenpo;;Focad;Npl;Agps;Zfp710;A630033H20Rik;Clec4a3;Vimp;;;;;Cxcl12;Naglu;Igf2bp3;Dnmt3a;Ccdc53;Mapk14;;Ppic;Bysl;Ccnd2;;;Acsl4;Acss1
;;Coq7;;Ap1b1;Fes;Cycs;Telo2;Litaf;Cklf;Acad10;;;;;MGI:2182073;Napsa;Igfbp4;Dnmt3b;Ccdc90b;Mcl1;;2810417H13Rik;Srp19;Dusp16;;;Muc13;4632434i11rik
;;Atrip;;Gm16061;Emid1;Soat1;Gsap;Cdkn1a;Lyn;Uso1;;;;;Ccdc18;Nbeal2;Igfbp6;Dnpep;Ccl27;Mef2c;;Cdc2a;Trappc4;4930504E06Rik;;;Socs2;Siae
;;Macrod1;;Pbx4;Lmo4;Casp1;P2rx7;Ctsb;Hs6st1;Pld3;;;;;Gm817;Ncf1;Ikzf2;Dntt;Ccnd1;Meis1;;Mcm5;Suclg2;LOC212111;;;Mamdc2;Ccdc18
;;Ttc13;;Tmem97;Hist1h1c;Tspan2;Galns;Klf13;Ppt1;Gm16581;;;;;E2f2;Ncoa4;Il12rb2;Dpagt1;Ccnl2;Met;;Prdx2;Dr1;Plekhb2;;;Gda;Eif2b4
;;Nup107;;L2hgdh;Trim11;Tfrc;Rnase6;Sorl1;Arhgap9;Pafah1b3;;;;;Cdca2;Nfil3;Il4ra;Dph5;Ccs;Mitf;;4921531G14Rik;Tubb3;Gabbr1;;;Mlec;Nop16
;;Fxn;;Mrpl32;Nptn;Ikbke;Atp7a;Dgkd;Sp140;Zfp467;;;;;Ankrd43;Nfkbie;Impa2;Dpt;Cd151;Mmp13;;Rad50;Rpl18;Blcap;;;Plscr4;Osbpl3
;;Pusl1;;Rmdn3;0610010F05Rik;Adssl1;Gm11951;Mtus1;Tnfaip1;Hspa1a;;;;;Atp1b2;Nkg7;Inpp1;Dusp12;Cd1d1;Mmp3;;Uchl5;Creg;Copeb;;;Sema7a;Uros
